Pairs,Frequency,Dates
71-79,6,"2021/9/4,2020/2/27,2015/11/3,2015/9/17,2011/4/14,2010/7/17"
16-19-31-46-69-74,1,2012/3/3
12-63,6,"2021/8/24,2016/8/16,2014/6/7,2012/11/24,2012/7/3,2012/4/19"
35-60-76,2,"2018/7/17,2016/12/13"
8-14-23-25-45-69,1,2011/4/21
15-33-75,2,"2017/5/4,2012/10/27"
5-57-59-69-81-86,1,2017/4/11
19-26-49,2,"2022/9/24,2020/10/27"
14-27,9,"2022/2/12,2020/9/19,2020/9/5,2019/3/26,2018/10/20,2018/8/18,2018/7/14,2012/1/10,2010/7/31"
41-73,10,"2022/3/19,2015/2/26,2014/2/1,2013/3/16,2013/2/12,2012/1/19,2011/10/27,2011/10/4,2009/5/14,2009/1/8"
3-11-18-30-51-85,1,2014/7/10
6-34-43-60-71-73,1,2010/5/25
15-16-32-63-67-70,1,2019/2/19
16-85-87,2,"2017/4/13,2013/8/3"
49-61-63,2,"2019/3/16,2009/8/6"
15-62,9,"2022/3/24,2021/5/15,2019/4/16,2016/5/19,2016/4/21,2014/8/19,2014/2/18,2013/6/15,2010/1/26"
21-24-48-51-60-82,1,2017/12/9
29-32-90,3,"2022/7/23,2015/3/24,2012/5/24"
22-23-77,2,"2019/6/13,2013/3/12"
6-46-59,2,"2022/9/29,2015/5/2"
29-65-87,2,"2019/1/29,2009/10/22"
7-56-90,4,"2016/1/5,2014/4/1,2014/3/1,2013/9/3"
9-12-64,2,"2016/8/16,2011/4/19"
34-64-88,2,"2017/8/14,2015/10/20"
28-81,9,"2020/6/1,2019/10/22,2018/6/28,2015/11/28,2013/9/19,2012/12/27,2012/10/20,2012/4/24,2010/5/11"
45-54,8,"2022/4/2,2019/10/15,2018/6/30,2017/8/24,2013/11/14,2012/3/29,2010/11/13,2010/7/20"
32-55,12,"2022/6/28,2022/3/29,2021/8/26,2020/11/17,2019/7/23,2018/5/26,2015/10/8,2012/1/24,2011/8/30,2011/3/1,2009/4/28,2009/1/29"
34-35,2,"2022/5/31,2011/4/23"
50-66,7,"2021/2/6,2020/12/19,2019/12/21,2018/3/8,2010/11/11,2010/8/24,2009/1/7"
60-67-90,2,"2019/7/16,2009/6/4"
52-57-83,2,"2014/12/4,2013/11/12"
8-28,12,"2022/6/11,2019/12/28,2019/1/7,2018/4/12,2018/2/3,2017/8/1,2017/4/24,2017/3/7,2015/12/24,2014/10/25,2012/7/17,2012/5/3"
16-21-26-64-66-78,1,2013/10/1
6-8-86,2,"2016/3/5,2011/1/22"
12-72-89,2,"2012/5/31,2009/7/23"
54-61,4,"2020/5/14,2020/2/8,2013/11/14,2013/1/2"
11-35-68,3,"2020/1/25,2016/5/21,2011/1/29"
62-70-86,2,"2014/6/26,2011/4/12"
22-42-47-62-70-72,1,2015/7/18
3-73,8,"2020/5/21,2017/12/16,2014/11/29,2014/6/24,2014/5/6,2014/2/1,2012/5/26,2009/10/15"
43-49,11,"2022/1/18,2018/12/27,2017/1/31,2017/1/26,2013/4/13,2012/10/27,2012/8/18,2010/10/2,2010/5/4,2009/11/12,2009/8/18"
71-80,10,"2021/9/4,2021/4/15,2020/7/28,2017/6/17,2015/1/17,2013/10/15,2013/8/29,2013/2/5,2011/4/14,2010/4/6"
53-84,10,"2021/6/5,2020/1/30,2019/8/29,2018/8/4,2018/7/26,2016/11/24,2015/12/3,2012/1/12,2010/10/26,2009/3/7"
26-27,7,"2021/10/21,2019/2/7,2012/12/20,2012/9/13,2012/4/19,2012/3/27,2010/1/12"
32-33-52,2,"2014/5/29,2009/2/19"
40-60-66,2,"2021/11/13,2015/2/17"
8-13-24-39-57-77,1,2011/11/10
4-89,4,"2022/6/25,2021/3/6,2018/10/20,2011/1/3"
29-41-43,2,"2022/5/7,2011/6/11"
35-47-85,4,"2020/9/17,2016/11/5,2013/5/14,2013/3/14"
51-68,8,"2021/6/22,2021/3/11,2019/7/18,2019/5/25,2016/1/30,2014/4/17,2012/3/6,2011/7/14"
15-25-26-29-38-39,1,2022/8/9
1-7-10-40-52-59,1,2019/9/14
1-21-63,3,"2015/7/21,2014/7/3,2009/7/28"
33-64,7,"2018/6/7,2018/1/8,2013/8/10,2012/9/29,2011/10/15,2009/10/22,2009/5/26"
25-57,7,"2021/10/26,2021/7/15,2016/12/27,2015/9/29,2012/6/28,2012/5/3,2012/2/28"
2-5-13-19-54-89,1,2022/9/1
23-30,5,"2021/5/11,2020/6/4,2020/1/4,2017/6/24,2012/2/11"
62-65,5,"2022/8/13,2019/5/18,2014/4/12,2012/6/19,2012/4/26"
86-89,8,"2021/7/1,2021/5/27,2020/9/24,2018/2/27,2017/3/23,2016/4/16,2015/7/9,2012/12/29"
41-50-54-60-75-88,1,2015/9/8
33-65-78,2,"2018/3/13,2009/3/10"
18-33-80,2,"2021/9/28,2020/7/18"
31-70-83,2,"2022/7/9,2020/8/25"
4-6-27-37-45-58,1,2011/9/22
8-27-83,2,"2017/4/27,2015/4/23"
54-89,11,"2022/9/1,2021/12/23,2019/4/6,2016/8/2,2015/7/9,2013/4/29,2012/3/17,2011/2/10,2011/1/7,2010/12/9,2009/4/7"
78-83,12,"2019/2/14,2017/6/15,2015/8/4,2015/7/7,2015/6/16,2014/8/28,2013/9/28,2013/9/7,2013/8/13,2011/5/19,2010/8/14,2010/5/18"
3-10-18-42-67-90,1,2011/8/4
49-59,6,"2021/5/25,2021/5/15,2016/4/26,2014/9/30,2013/3/2,2012/9/6"
44-56-77,3,"2022/7/26,2021/8/28,2015/2/12"
14-75,11,"2019/6/25,2017/8/5,2016/10/31,2016/5/3,2015/9/10,2013/8/8,2013/7/23,2012/5/17,2012/2/25,2010/8/21,2010/7/3"
9-17-20-32-35-56,1,2015/9/15
46-66,6,"2022/7/23,2022/1/18,2015/12/12,2014/3/18,2013/12/14,2011/4/7"
6-35-59,2,"2022/9/29,2017/4/15"
39-74-89,2,"2017/3/23,2012/8/16"
6-70-75,2,"2020/1/21,2010/9/30"
1-36,8,"2021/9/11,2021/7/27,2021/4/13,2020/10/22,2017/4/22,2015/9/24,2013/9/24,2009/3/24"
66-74-77,3,"2018/6/4,2010/1/14,2009/12/5"
67-87,6,"2022/2/17,2021/4/10,2020/9/10,2014/11/25,2013/12/7,2010/9/7"
23-62-74,2,"2021/5/29,2010/11/9"
2-22-36-77-83-90,1,2017/6/3
56-77,10,"2022/7/26,2021/8/28,2021/3/2,2019/11/19,2018/9/27,2018/6/4,2015/2/12,2012/5/15,2011/12/17,2009/6/27"
15-17-34-83,2,"2011/1/13,2009/12/19"
10-60,6,"2022/9/17,2019/12/14,2019/4/11,2018/4/30,2012/11/17,2012/4/5"
26-74,7,"2022/10/15,2022/8/2,2019/11/19,2019/7/9,2017/7/13,2016/1/9,2012/7/7"
7-68,12,"2021/9/4,2021/4/17,2020/12/31,2020/8/11,2020/6/11,2018/6/19,2017/9/12,2017/9/5,2015/4/9,2012/10/18,2011/12/3,2009/2/14"
49-57,10,"2021/10/26,2020/8/13,2020/7/23,2018/9/13,2017/9/2,2017/1/17,2014/1/2,2011/6/14,2010/10/19,2010/4/3"
39-40-50,4,"2022/9/20,2018/11/5,2017/3/9,2009/2/21"
10-27-39,2,"2013/12/19,2013/1/26"
62-86,5,"2016/1/7,2014/6/26,2011/4/12,2011/3/15,2009/4/18"
21-46-56,2,"2018/9/27,2011/4/7"
23-54,9,"2020/2/25,2019/1/8,2018/6/30,2018/4/17,2017/8/29,2014/1/21,2013/11/14,2012/3/17,2011/1/20"
52-64,11,"2019/12/5,2019/1/3,2018/4/26,2014/11/11,2014/2/8,2013/11/21,2013/3/26,2012/5/8,2010/7/3,2009/12/22,2009/3/19"
12-85,8,"2019/3/19,2018/9/22,2016/8/9,2016/4/5,2014/2/4,2013/4/2,2011/5/21,2009/11/5"
3-27-34,2,"2013/6/4,2009/4/4"
6-63-64,2,"2021/7/22,2013/8/27"
10-39,7,"2013/12/24,2013/12/19,2013/11/9,2013/10/12,2013/1/26,2012/11/17,2010/12/2"
16-25-28-30-39-51,1,2009/11/17
40-56,9,"2021/6/24,2018/5/19,2017/11/21,2016/2/2,2016/1/5,2015/2/7,2012/10/6,2009/10/13,2009/8/6"
32-43-44,2,"2020/10/29,2009/6/3"
10-39-45-65-74-86,1,2013/12/24
65-72,8,"2019/10/17,2018/10/16,2017/10/26,2017/10/10,2015/10/17,2014/11/18,2011/5/24,2010/5/27"
32-35-56,2,"2018/3/29,2015/9/15"
18-33-49-76-80-84,1,2020/7/18
63-67-77,2,"2017/1/24,2009/5/28"
32-78,11,"2020/12/1,2017/6/15,2015/10/10,2015/9/24,2013/3/7,2012/7/10,2011/5/19,2011/4/26,2011/2/5,2010/5/22,2010/5/15"
15-32-66-74-79-86,1,2022/10/29
41-58,6,"2021/4/27,2021/3/30,2018/5/8,2012/5/17,2011/9/3,2009/10/31"
23-47-83,2,"2012/3/31,2012/3/8"
28-33-43,2,"2017/12/28,2012/1/31"
53-74-76,2,"2018/1/16,2012/7/7"
34-54-62,2,"2020/7/21,2011/4/23"
3-12-23-71-76-83,1,2016/10/27
23-62,7,"2021/5/29,2018/10/11,2014/1/21,2010/11/9,2010/1/26,2009/6/25,2009/4/9"
26-40,9,"2020/12/5,2020/7/9,2020/2/15,2015/1/3,2012/3/27,2010/11/16,2010/10/30,2010/2/2,2009/8/11"
26-31-32-50-61-77,1,2009/11/26
20-57,10,"2021/10/26,2020/6/13,2015/12/29,2015/3/19,2013/12/10,2012/11/13,2012/6/28,2011/6/30,2010/9/28,2009/11/5"
53-75-83,2,"2021/6/5,2015/11/21"
14-62,5,"2021/4/29,2019/6/25,2017/6/27,2014/4/22,2014/4/12"
24-28-78,2,"2017/6/15,2012/4/24"
14-89,8,"2021/7/29,2018/10/20,2016/3/24,2014/4/12,2012/2/25,2011/1/7,2010/7/1,2010/2/13"
53-86,8,"2022/6/6,2022/3/17,2022/3/15,2016/12/15,2016/9/15,2014/10/30,2011/12/24,2009/8/25"
54-78-79,2,"2019/6/6,2014/5/8"
15-46-50,2,"2018/11/13,2018/11/10"
20-67-80,2,"2022/5/21,2011/9/8"
44-51,5,"2022/8/23,2016/5/28,2013/9/12,2011/6/7,2009/1/27"
31-54,9,"2022/6/16,2019/9/5,2018/8/9,2015/11/12,2015/1/17,2012/6/9,2011/5/26,2010/10/19,2010/4/29"
14-35-41,2,"2020/6/25,2013/8/6"
47-74-87,2,"2012/11/3,2012/8/4"
15-20-72,3,"2021/3/9,2020/1/23,2015/12/29"
9-55-90,2,"2011/3/1,2009/1/13"
14-15-65-68-82-85,1,2017/12/7
32-39-65,2,"2020/12/5,2015/5/16"
10-67-76,2,"2015/1/13,2009/9/29"
36-45,10,"2021/9/30,2020/12/19,2018/3/6,2015/11/26,2015/6/13,2015/4/14,2011/11/15,2011/4/2,2010/8/26,2009/7/25"
84-86,3,"2022/8/25,2015/11/14,2012/12/29"
31-72,7,"2019/4/30,2016/12/1,2014/2/15,2012/11/8,2011/12/13,2011/12/10,2011/5/26"
2-24-42,2,"2018/9/18,2018/3/24"
15-33-48-49-56-88,1,2021/1/7
18-32,5,"2020/11/17,2019/7/23,2011/5/21,2011/2/26,2010/1/16"
12-21-57-68-86-88,1,2014/3/29
25-64,5,"2019/12/5,2016/12/27,2010/9/23,2009/1/17,2009/1/3"
35-76,12,"2021/12/16,2019/11/26,2019/6/20,2018/7/17,2017/3/21,2016/12/13,2014/12/2,2012/8/21,2011/6/25,2011/6/9,2011/5/10,2009/7/16"
23-70-81,3,"2013/9/5,2010/1/23,2010/1/2"
3-13-39-40-49-75,1,2012/6/14
40-86,8,"2021/12/30,2021/6/3,2020/2/15,2019/8/24,2019/7/4,2018/11/3,2014/4/29,2012/7/12"
2-59-88,2,"2016/9/17,2013/6/22"
27-44-83,2,"2021/6/10,2011/2/19"
21-57,4,"2020/1/28,2018/8/14,2014/3/29,2010/3/6"
9-72,9,"2022/3/29,2021/10/9,2021/6/8,2018/3/1,2014/8/9,2012/11/8,2010/7/6,2010/5/27,2009/7/23"
1-10-20-28-47-55,1,2019/3/30
14-71,5,"2020/6/9,2016/2/25,2011/3/10,2010/2/13,2009/1/8"
31-65-78-85-89-90,1,2016/8/11
20-45-89,2,"2018/2/1,2014/10/9"
39-77-89,3,"2021/3/2,2018/1/30,2017/12/19"
29-75-87,2,"2014/7/19,2012/2/21"
4-59-83,2,"2019/1/31,2009/6/11"
3-61,5,"2020/8/29,2018/11/20,2018/9/15,2011/2/12,2009/2/12"
39-62,5,"2020/12/19,2018/10/11,2016/5/19,2013/10/8,2010/12/27"
36-39-50,4,"2020/12/19,2018/11/5,2014/9/20,2009/12/10"
45-50-54,2,"2012/3/29,2010/7/20"
13-14-56-58-79-82,1,2014/9/11
9-29-75,2,"2019/10/10,2011/9/10"
79-80,13,"2021/9/4,2018/5/17,2017/5/16,2017/3/18,2017/3/14,2017/1/19,2014/11/15,2014/8/7,2013/1/8,2012/3/8,2011/8/20,2011/5/28,2011/4/14"
36-38-45,2,"2015/6/13,2011/11/15"
2-21-74,2,"2017/2/7,2015/10/1"
21-35-79,3,"2019/11/26,2016/11/3,2010/8/31"
59-80,8,"2019/2/16,2018/10/27,2017/5/2,2016/10/6,2014/8/7,2012/12/22,2011/11/5,2010/8/21"
6-16-61,2,"2013/6/25,2012/12/11"
9-28-33-38-50-55,1,2010/6/26
2-12-17-60-63-78,1,2012/7/3
49-77-90,3,"2022/6/7,2016/4/26,2009/10/20"
33-51-80,2,"2022/10/8,2017/11/11"
37-79,12,"2022/1/20,2020/6/6,2018/7/24,2018/6/14,2018/2/17,2015/4/16,2014/4/5,2012/3/8,2011/12/17,2011/1/15,2009/12/24,2009/6/3"
3-83,6,"2019/1/22,2018/11/20,2018/4/7,2016/10/27,2010/12/11,2009/1/31"
10-55,11,"2021/12/30,2019/10/17,2019/3/30,2017/10/17,2015/9/22,2013/11/9,2011/12/6,2011/2/8,2011/1/18,2009/12/12,2009/3/28"
50-59,6,"2022/1/22,2021/5/11,2017/12/21,2016/7/5,2014/8/7,2012/12/22"
4-11-15-26-58-68,1,2013/8/20
40-47,6,"2022/3/3,2021/9/16,2017/11/21,2014/4/3,2014/1/16,2010/8/12"
13-37-48,3,"2019/7/2,2015/1/10,2013/10/31"
28-30-39-46-68-89,1,2015/3/14
7-53-64,2,"2014/10/23,2012/9/29"
59-67,7,"2018/10/30,2018/7/21,2017/12/21,2015/4/21,2014/1/28,2013/3/2,2013/1/5"
8-46-68-70-76-86,1,2017/4/1
32-39-59,2,"2018/9/8,2013/3/5"
35-60,10,"2020/11/12,2020/10/8,2020/6/27,2019/11/21,2019/10/31,2019/8/31,2018/7/17,2016/12/13,2016/7/21,2009/1/10"
20-62,12,"2022/10/6,2022/4/26,2020/6/13,2019/9/12,2018/10/11,2018/4/19,2017/11/25,2013/8/31,2012/11/13,2012/8/30,2012/2/23,2009/4/18"
1-23-63-79-82-89,1,2022/1/29
56-60,12,"2022/6/16,2021/9/18,2021/4/27,2020/10/13,2016/7/21,2016/1/5,2015/12/10,2015/2/3,2012/12/18,2012/12/1,2012/4/5,2009/6/6"
42-57-62,2,"2020/6/13,2009/11/19"
36-48-74,2,"2017/7/6,2011/4/30"
3-15-16-21-31-80,1,2022/3/8
3-44,7,"2021/8/31,2020/5/21,2017/11/18,2016/5/28,2014/4/15,2014/2/1,2009/3/17"
8-10-39-60-77-84,1,2012/11/17
41-50-60,2,"2018/7/10,2015/9/8"
47-83,13,"2021/12/28,2021/9/16,2019/2/14,2018/9/4,2018/4/7,2015/4/23,2014/3/27,2012/6/12,2012/3/31,2012/3/8,2011/12/29,2010/8/12,2009/9/10"
39-45,13,"2022/8/27,2021/5/25,2021/1/26,2020/12/19,2020/11/3,2016/12/17,2014/10/30,2013/12/24,2012/3/24,2011/8/25,2010/12/30,2010/5/11,2009/3/3"
18-42,5,"2022/9/17,2020/7/25,2019/4/27,2017/6/22,2011/8/4"
20-22-62,2,"2017/11/25,2012/8/30"
44-45-58-65-66-85,1,2010/3/27
19-49-82,2,"2019/1/24,2009/8/18"
17-38-42-50-68-86,1,2010/10/5
16-45-58,2,"2014/8/23,2010/9/25"
19-40,9,"2021/10/2,2021/2/9,2021/2/4,2020/7/11,2019/3/2,2019/1/24,2017/6/29,2016/2/2,2013/7/27"
20-67,8,"2022/5/21,2022/4/26,2022/3/19,2021/9/7,2020/7/11,2015/5/19,2014/5/15,2011/9/8"
3-27-88,2,"2017/11/18,2013/6/4"
54-68,12,"2022/4/2,2018/8/25,2017/8/26,2016/12/10,2014/5/13,2014/2/27,2013/4/29,2013/3/28,2012/4/24,2012/3/17,2012/1/3,2010/11/11"
38-63-77,2,"2018/11/24,2009/10/27"
25-48-79,2,"2014/12/11,2014/6/3"
2-44-52,2,"2020/9/15,2017/12/12"
11-55-83,2,"2016/9/22,2011/2/8"
52-54-70-80-82-84,1,2015/11/24
24-72,11,"2021/11/23,2020/2/11,2019/6/1,2018/1/27,2012/8/7,2012/7/21,2011/6/3,2011/5/26,2009/10/17,2009/10/6,2009/6/11"
11-19,9,"2022/9/6,2021/9/25,2021/5/18,2020/3/3,2018/7/5,2016/5/14,2014/9/18,2011/7/2,2010/7/29"
22-39-43-65-77-89,1,2017/12/19
28-57-71,2,"2019/8/19,2012/12/27"
37-62,14,"2022/3/24,2021/4/1,2018/12/29,2018/6/21,2018/5/22,2016/10/8,2014/9/18,2013/4/23,2011/12/22,2011/12/15,2011/4/12,2011/3/26,2010/11/9,2009/12/24"
25-82-87,2,"2014/1/14,2013/12/31"
9-10-76,2,"2015/1/13,2013/11/5"
55-61,5,"2021/8/12,2020/8/29,2019/11/12,2011/1/18,2009/3/28"
3-54,10,"2021/11/9,2019/5/9,2018/11/17,2017/3/28,2016/6/6,2014/5/13,2011/10/1,2011/3/5,2009/4/16,2009/4/7"
67-73-74,2,"2022/1/3,2020/10/6"
50-57,11,"2021/10/16,2020/1/28,2019/11/21,2014/9/20,2012/8/7,2012/3/29,2011/8/27,2010/5/18,2009/12/9,2009/11/21,2009/5/16"
2-79-88,2,"2017/1/7,2011/7/7"
8-60,8,"2021/10/14,2020/10/8,2019/12/14,2013/1/22,2012/11/17,2011/8/11,2009/7/11,2009/6/6"
8-69,10,"2022/10/20,2019/4/29,2018/1/9,2017/9/23,2014/5/10,2012/3/10,2011/10/4,2011/4/21,2010/3/30,2009/7/11"
73-75,6,"2021/11/13,2021/6/5,2016/5/14,2014/8/14,2013/7/23,2011/1/8"
30-59-72-74-77-78,1,2015/2/10
13-19-77,2,"2021/12/28,2012/5/5"
1-28-29,2,"2014/7/26,2012/9/22"
68-73,8,"2021/12/14,2017/9/5,2015/6/25,2015/3/7,2013/3/28,2011/10/4,2011/1/8,2009/2/14"
57-60-77,2,"2017/9/2,2017/5/6"
35-44-62,2,"2015/3/5,2010/2/23"
41-51,11,"2022/10/8,2022/7/9,2022/5/7,2020/6/25,2020/5/19,2018/6/9,2017/11/9,2016/3/19,2013/1/3,2010/11/9,2009/12/31"
28-60,4,"2020/2/22,2017/5/2,2012/4/17,2009/10/3"
21-34,8,"2022/5/31,2021/4/24,2020/2/4,2019/2/5,2018/7/26,2013/9/17,2011/10/20,2011/4/19"
24-63,11,"2019/8/8,2017/8/8,2016/6/18,2016/6/7,2016/4/28,2016/2/6,2016/1/26,2015/12/24,2015/1/24,2013/10/26,2013/7/18"
21-66,14,"2021/10/19,2021/10/5,2019/11/30,2019/8/3,2019/5/7,2018/8/7,2017/5/30,2016/11/3,2015/6/20,2015/3/17,2014/6/17,2013/10/1,2011/4/7,2009/1/13"
9-10-26-53-68-72,1,2014/8/9
19-25,8,"2020/8/4,2019/4/2,2015/7/7,2015/5/14,2013/6/22,2011/6/18,2009/6/13,2009/2/26"
10-15-23-54-73-74,1,2020/2/25
22-38-51,3,"2020/12/29,2016/4/30,2012/12/24"
58-66-83,2,"2014/3/18,2012/5/12"
25-53-76,2,"2020/9/29,2012/7/7"
4-34-77,2,"2016/10/13,2009/10/1"
17-24-72,2,"2021/11/23,2019/6/1"
55-81-89,3,"2019/9/24,2018/6/28,2013/11/9"
49-68-74,2,"2022/8/2,2022/3/22"
14-69-90,3,"2019/2/12,2017/8/5,2013/1/3"
20-44-80,2,"2018/4/19,2009/9/19"
23-73-88,2,"2018/10/18,2017/8/29"
1-34-46-51-60-75,1,2012/11/10
69-73-82,2,"2012/4/21,2009/9/26"
4-6-27-76-80-86,1,2017/4/8
52-67-86,3,"2017/8/22,2011/1/22,2009/11/28"
31-33-78,2,"2015/5/5,2015/4/30"
14-33-48-61-65-80,1,2017/10/5
2-26,9,"2017/11/16,2017/7/13,2017/3/4,2016/12/3,2016/10/6,2015/8/1,2013/12/21,2013/7/20,2012/6/23"
1-11-21,2,"2013/2/23,2009/3/24"
10-31,6,"2022/2/1,2018/4/14,2013/6/8,2012/9/27,2011/12/13,2010/8/10"
20-57-89,2,"2015/12/29,2013/12/10"
30-38-48,2,"2021/11/27,2015/9/1"
5-11-19-26-36-64,1,2020/3/3
17-20-41-42-49-81,1,2014/6/28
25-31-78,2,"2016/11/15,2015/7/7"
52-53-87,2,"2021/6/29,2020/8/27"
49-62,10,"2022/9/27,2022/8/13,2021/12/21,2021/5/15,2018/12/29,2016/11/29,2016/3/3,2014/2/18,2010/4/29,2010/2/23"
3-31-45-48-71-76,1,2014/6/14
13-33-78,3,"2020/6/27,2019/7/27,2017/2/16"
12-41,8,"2021/12/16,2018/12/13,2017/11/9,2014/9/9,2013/1/3,2012/2/14,2011/3/3,2009/9/1"
38-54,12,"2019/10/15,2019/5/9,2019/1/8,2018/11/17,2018/4/12,2017/6/20,2014/8/2,2011/5/26,2011/3/5,2010/5/20,2010/4/29,2009/4/16"
17-44,7,"2022/7/19,2019/9/26,2018/4/19,2017/8/12,2016/5/28,2015/2/26,2012/6/30"
18-52,4,"2022/3/10,2017/4/18,2011/9/27,2010/7/3"
4-9-37-48-49-77,1,2019/11/7
7-17-30-39-41-67,1,2020/8/20
8-18-33,2,"2022/6/11,2016/5/31"
4-68-77,2,"2015/4/7,2009/10/1"
6-69,9,"2022/10/20,2020/11/19,2017/11/7,2015/5/26,2013/2/16,2011/3/18,2010/8/14,2010/3/25,2009/2/28"
7-12-45-47-73-87,1,2020/8/22
8-78,6,"2017/11/4,2015/9/17,2015/7/2,2015/4/27,2014/5/22,2010/3/11"
3-30-47-67-68-89,1,2020/11/14
29-66-89,2,"2014/6/17,2009/6/27"
14-18-75,2,"2016/10/31,2010/7/3"
22-47-77,2,"2022/2/12,2018/1/30"
30-61-76,2,"2021/2/16,2016/7/23"
34-47,11,"2022/3/10,2021/2/11,2019/8/27,2018/4/12,2017/8/19,2017/8/14,2017/7/18,2015/4/23,2014/1/16,2013/6/6,2010/11/13"
43-75,7,"2021/5/4,2019/6/25,2017/1/26,2016/7/16,2015/2/3,2014/8/30,2012/10/27"
30-39,9,"2022/2/5,2020/8/20,2018/8/21,2015/7/11,2015/3/14,2013/4/18,2012/8/9,2012/2/21,2009/11/17"
34-56,8,"2022/8/11,2022/7/26,2022/6/23,2022/1/13,2018/11/22,2015/2/28,2013/10/22,2009/7/18"
3-36,4,"2019/12/31,2019/7/13,2019/3/5,2016/5/7"
3-38-54-82,2,"2019/5/9,2018/11/17"
16-21-33,2,"2020/1/28,2019/8/3"
9-18-71,2,"2017/6/22,2016/3/10"
11-12-32-55-72-87,1,2009/4/28
19-33-45-50-54-86,1,2010/7/20
54-81,6,"2018/9/29,2018/8/25,2016/8/27,2012/4/24,2012/3/10,2011/2/10"
7-14-56,3,"2020/9/5,2014/5/31,2013/10/3"
68-85,10,"2021/12/4,2020/1/14,2018/4/21,2018/1/27,2017/12/7,2017/9/7,2016/12/10,2012/9/22,2010/5/29,2010/2/16"
3-17-54,3,"2021/11/9,2019/5/9,2009/4/16"
18-25-47,3,"2018/9/4,2016/10/31,2016/10/8"
9-12-75,2,"2019/10/10,2016/11/12"
51-60,12,"2021/1/26,2020/12/29,2020/10/8,2020/2/27,2017/12/9,2017/1/26,2016/9/8,2014/8/23,2013/1/22,2012/11/10,2011/12/9,2011/8/11"
13-29,5,"2019/4/30,2014/12/20,2014/11/4,2012/11/29,2011/11/29"
65-70,8,"2021/7/3,2016/12/10,2016/6/7,2013/5/7,2010/11/23,2010/10/7,2009/12/10,2009/10/8"
27-31-36-39-46-67,1,2021/5/20
1-12-31-33-44-50,1,2018/6/12
28-30-52,2,"2021/3/25,2009/2/19"
28-77-89,2,"2020/9/24,2009/4/30"
22-55-89,2,"2014/12/23,2013/11/9"
32-34-82,2,"2016/5/7,2009/7/18"
11-18-47,2,"2015/4/18,2009/2/10"
43-76,6,"2021/12/4,2013/12/23,2013/8/17,2013/4/13,2011/8/23,2009/5/7"
63-67-74,2,"2017/1/24,2014/8/19"
7-40-48,2,"2021/2/9,2014/11/3"
15-22-51,2,"2020/12/29,2020/12/22"
20-71,2,"2017/8/3,2009/4/18"
58-75,7,"2021/4/20,2018/5/8,2017/7/29,2017/7/4,2016/5/3,2012/6/7,2012/5/17"
60-64,5,"2021/10/12,2017/3/25,2015/10/20,2013/10/15,2013/2/14"
3-22-88,2,"2019/1/22,2014/6/24"
7-45-55,2,"2020/11/17,2019/9/24"
54-84,13,"2020/12/28,2018/12/1,2017/8/29,2016/8/2,2016/5/12,2015/11/24,2013/8/29,2013/6/1,2012/3/17,2011/4/23,2011/2/10,2010/10/9,2010/5/20"
17-79,7,"2022/7/19,2020/10/3,2020/2/27,2018/2/17,2017/10/28,2011/8/11,2010/8/5"
50-58,4,"2017/3/9,2012/10/11,2012/2/2,2011/6/23"
9-68,14,"2022/10/4,2022/8/2,2022/3/29,2022/3/5,2021/3/11,2020/8/11,2020/1/14,2016/9/13,2016/5/21,2015/3/10,2014/8/9,2012/7/28,2011/4/16,2009/5/9"
29-43-66,3,"2019/9/7,2014/6/17,2011/6/28"
6-46-78,2,"2017/5/20,2012/4/17"
18-56-72,2,"2018/9/20,2016/3/19"
18-51-66,2,"2016/1/19,2010/6/24"
54-86,13,"2022/3/17,2021/2/2,2017/6/20,2015/7/9,2015/4/11,2015/1/31,2014/8/2,2014/2/27,2012/7/12,2011/7/30,2010/12/16,2010/7/20,2010/6/8"
18-30-40-64-88-89,1,2010/9/2
52-55-65-75-79-81,1,2011/11/3
25-33-53,2,"2020/9/29,2015/11/21"
12-75-82-84,2,"2011/5/10,2011/3/3"
12-24-84,2,"2017/1/14,2013/1/15"
10-13-21-36-66-69,1,2015/3/17
9-67-76,2,"2020/11/26,2015/1/13"
57-77-82,2,"2018/3/1,2017/5/6"
64-71,6,"2021/7/17,2019/4/27,2018/4/26,2014/8/16,2013/10/15,2009/4/27"
21-31-39,2,"2016/2/4,2011/1/4"
11-28-59,2,"2017/6/8,2014/7/17"
5-30-36-63-84-85,1,2015/12/15
46-81,3,"2022/5/7,2021/4/22,2017/9/23"
28-42-88,2,"2021/10/19,2013/12/5"
18-26,12,"2022/9/8,2021/10/7,2020/8/1,2019/9/17,2015/7/30,2014/11/27,2014/10/7,2013/10/31,2011/8/20,2011/2/26,2010/5/8,2010/3/20"
23-66,5,"2022/8/4,2020/1/7,2018/8/7,2015/2/19,2009/12/17"
16-49-64,2,"2016/9/10,2012/9/6"
45-78,10,"2020/5/9,2020/1/2,2017/11/4,2016/10/22,2016/9/20,2015/10/10,2014/9/25,2014/5/20,2013/9/14,2012/10/23"
26-69,8,"2022/10/15,2020/2/18,2016/11/10,2014/1/4,2012/3/27,2010/10/23,2009/8/29,2009/2/28"
40-45-54-72-85-88,1,2017/8/24
26-58-68,2,"2015/1/3,2013/8/20"
1-36-43,2,"2020/10/22,2013/9/24"
36-84,4,"2015/12/15,2013/3/9,2012/10/2,2010/1/28"
